Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target
21.96428571,233.4642857,132.4642857,1.910714286,0.928571429,22.14285714,186.8660714,158.9017857,1.026785714,0.464285714,0.071428571,1
22.42857143,238.8571429,131.2142857,1.642857143,0.714285714,25,269.4285714,103.2142857,1.357142857,0.928571429,0,1
24.35714286,236.1160714,109.4285714,1.142857143,0.919642857,19.5,274.3839286,102.2410714,1.044642857,1.535714286,0.071428571,1
17.71428571,262.2857143,79.92857143,1.714285714,1.214285714,22.14285714,210.2857143,119,1.714285714,1.071428571,0,0
20.9375,230.6875,120.625,1.125,0.8125,20.5625,253.125,107.3125,1.1875,1.1875,0,1
19.75,220.25,93.4375,1.1875,1.125,18.0625,239.0625,105.8125,1.875,1.5,0,1
21.125,235,116.875,2,1.125,27.25,231.5625,130,1.5625,0.625,0,1
21.3125,213.25,114.25,1.3125,1,17.375,196.8125,118.875,1.875,1.75,0.125,1
18.3125,249.75,105.75,1.3125,1.5,24.9375,213,115.0625,1.5,0.625,0.125,1
25.4375,266.5,106.5,1.625,0.875,20.9375,239.4375,118,1.375,0.875,0.125,1
17.625,215.5,102.3125,1.625,0.8125,21.125,231.9375,126.9375,1.4375,0.875,0,0
24.4375,253.875,115.8125,1,1,26.1875,265.0625,127.8125,0.875,0.9375,0.125,1
18.6875,280.75,82.8125,2,0.75,25.375,194.1875,167.125,0.75,0.5625,0,1
17.375,231.9375,98.1875,1.9375,1.125,19.875,227.1875,103.1875,1.0625,1,0.125,1
28,244.375,137.875,1.625,1,20.0625,241.9375,78.25,1.8125,1.375,0,0
21.125,239.625,100.25,2.0625,1.125,22.1875,233.0625,109.4375,1.25,1.125,0.125,0
22.625,236.5,117.6875,1.4375,1,21.375,243.1875,82.6875,1.375,1,0.125,0
21,243.5625,99.25,1.3125,1.3125,23,275.5625,124.9375,1.75,0.8125,0,0
17.66666667,238.9444444,93.38888889,1.666666667,1.444444444,20.38888889,222.0555556,102.6111111,1.333333333,1.111111111,0.111111111,0
23.83333333,241.4444444,129.7222222,1.333333333,0.722222222,20.94444444,214.2777778,113.2222222,1.666666667,1.055555556,0.111111111,0
21.55555556,210.4444444,118.9444444,1.611111111,0.722222222,22.05555556,243.1111111,112.7222222,2.166666667,1.111111111,0.111111111,1
22,269.2777778,104.2777778,1.722222222,1.277777778,25.94444444,256,101.5555556,1.611111111,0.944444444,0,1
26.11111111,245.4444444,126.5555556,1.777777778,0.833333333,20.11111111,261.8888889,99.44444444,1.611111111,1.388888889,0.111111111,0
25.83333333,268.0555556,129.5,1.166666667,0.611111111,20.38888889,244.1666667,109.9444444,1.277777778,0.666666667,0.111111111,1
26.27777778,246.8888889,148.8888889,1.111111111,0.777777778,20.5,229.9444444,93.55555556,2.055555556,1.111111111,0,1
21,235,123.7222222,1.111111111,1.166666667,23.44444444,240.6666667,115.5,1.388888889,0.888888889,0,1
14.94444444,203,96.77777778,1.888888889,1.222222222,22.83333333,221.2222222,125,1.111111111,1,-0.111111111,0
17.33333333,233,117.7777778,1.444444444,1.666666667,23.11111111,237.0555556,100.7777778,0.944444444,0.944444444,0.111111111,0
20.33333333,228.2222222,121.1666667,1.388888889,1.333333333,21.44444444,236.8333333,106.7777778,1.5,0.722222222,0,0
18.61111111,237,102,1.111111111,1.222222222,21.44444444,250.8333333,112.8888889,1.333333333,0.722222222,0,0
22.22222222,289.2777778,99.16666667,1.5,1.055555556,17.61111111,197.6111111,98.61111111,1.444444444,0.888888889,-0.111111111,1
24.61111111,233.1111111,119.9444444,1,0.777777778,25.22222222,292.8888889,101.7222222,1.166666667,0.777777778,0,1
25,234.9444444,117.0555556,2,0.777777778,24.72222222,256.9444444,125.4444444,1.388888889,1.611111111,0.111111111,1
27.27777778,284.2222222,125.4444444,1.444444444,0.722222222,22.22222222,257.6666667,83.11111111,1.5,0.722222222,0.111111111,1
23.8,284.7,94.65,1.3,1.2,26.3,233.75,121.7,1.5,0.7,0.1,0
19.95,240.65,94.65,1.55,1,25.3,273.3,106.4,1.4,1.1,0.1,0
25,230.15,132.1,1.45,0.95,19.6,248.6,93.45,1.5,0.9,0,1
21.4,247.95,98,1.2,1,20.85,261.35,124.75,1.5,1.35,0,0
26.15,269.25,125.25,1.6,1.25,22,213.9,112.4,1.85,1.25,0.1,1
22.1,267.7,115.25,1.25,1.1,27.2,254.7,117.4,1.25,0.65,0,1
18.9,239.25,88.35,1.8,1.2,25.55,221.15,140.75,1.35,0.6,0,0
20.1,240.9,120.55,1.1,1,22.2,259,97.95,1.1,1.2,0,1
22.2,208.4,120.85,1.45,1,16.15,216.55,106.4,1.7,1.5,0.1,1
22.3,212.55,132.4,1.9,0.9,19.75,226.95,113.2,1.35,0.9,0,0
19.6,244,93.9,1.25,0.85,23.8,253.8,135.05,1.05,0.65,0.1,0
21.95,226.15,126.55,1.35,1.1,19.35,221.25,109.8,1.55,0.75,0.1,1
20.85,225.55,99.35,1.25,1.7,21.5,244.65,114.4,2.15,0.95,0,1
20.75,276.45,88.6,1.8,0.7,23.2,229.15,122.95,0.95,0.75,0.1,0
23.95,255.25,87.65,1.1,0.8,24.5,270.95,124.2,1.55,0.9,0.1,0
20.35,225.4,95.65,1.65,1.05,22.6,253.85,115.45,1.35,1.05,0.2,0
27.13636364,284.2272727,123.4090909,1.454545455,0.636363636,23.68181818,241.9545455,117.5454545,1,1.181818182,0.090909091,1
24.5,268.6363636,134.7727273,1.727272727,1.181818182,20.68181818,234.5909091,95.45454545,2.045454545,1.090909091,0,1
19.72727273,249.5,112.7272727,1.045454545,1.318181818,20.04545455,211.0454545,110.3636364,1.545454545,0.909090909,0.090909091,0
22.45454545,250.0454545,98.31818182,1.181818182,0.818181818,16.04545455,224.8636364,111.6818182,1.545454545,1.227272727,0.090909091,1
19.18181818,230.7272727,100.4545455,1.909090909,1,25.13636364,262.4545455,108.5909091,1.363636364,1.272727273,0.090909091,0
25.04545455,232.2272727,115.9545455,1.272727273,0.863636364,20.81818182,240.7272727,126.5,1.5,1.409090909,0.090909091,0
27.63636364,229.0909091,157.9545455,0.909090909,0.454545455,21.86363636,283.2272727,87.90909091,1.636363636,0.681818182,0.090909091,1
19.54545455,252.5909091,82.68181818,2,1.318181818,22.90909091,231.2727273,115.2727273,1.681818182,1.090909091,0.090909091,0
22,223.9545455,143.7727273,1.181818182,0.954545455,21.27272727,225.0454545,101.4090909,1.227272727,0.954545455,0.090909091,1
25.72727273,264.5,123.5,1.545454545,0.681818182,21.81818182,214.1818182,110.4090909,1.727272727,1.181818182,0.090909091,0
26.5,281.5,98.31818182,1.318181818,0.909090909,23.09090909,251.4545455,112.6818182,1.454545455,1.090909091,0.090909091,0
19.31818182,236.3181818,90.68181818,2,1,24.18181818,243.2272727,125.4090909,0.954545455,0.909090909,0.090909091,0
19.45454545,239.7272727,105,1.5,0.909090909,22.68181818,231.2272727,130.1818182,0.863636364,0.954545455,0.090909091,0
22.04545455,226.1363636,104.2272727,1.272727273,1.136363636,18.86363636,236.3181818,110.8636364,1.681818182,1.181818182,0.090909091,1
19.59090909,253.5,89.18181818,1.772727273,1,20.09090909,221.0454545,113.8636364,1.454545455,0.818181818,0,0
23.68181818,234.8636364,99.36363636,1.045454545,0.545454545,24.09090909,262.3636364,129.3636364,1.090909091,1.045454545,0.090909091,1
23.04166667,200.8333333,127.6666667,1.375,0.875,23,283.0416667,101.25,1.291666667,1.25,0,0
20.08333333,231.5,113.5,1.5,1.291666667,23.41666667,213.25,141.1666667,1.375,0.791666667,0,1
24.54166667,228.7083333,122.4583333,1.333333333,0.958333333,18.58333333,255.875,77.29166667,1.708333333,1.208333333,0.083333333,1
21.91666667,215.2083333,137.9166667,1.458333333,0.958333333,24.29166667,236.7916667,129.25,1.625,1,0,1
16.125,218.0833333,101.1666667,1.666666667,1.416666667,25.45833333,230.75,128.7083333,0.916666667,0.916666667,0,0
19.70833333,240.4166667,108.9166667,1.541666667,1.375,22.33333333,241.2083333,128.0833333,1.458333333,0.708333333,0,0
19.16666667,243.4583333,100.125,1.5,1.208333333,25.375,255.6666667,114.4583333,1.625,0.75,0,1
20.5,252,115.4583333,1.291666667,0.958333333,20.79166667,236,93.125,1,0.958333333,0,1
22.33333333,276.3333333,101,1.625,1.083333333,19.125,216.6666667,106.6666667,1.5,0.708333333,0,1
23.33333333,277.2083333,103.7083333,1.5,0.791666667,22.83333333,206.2916667,135.2083333,0.958333333,0.708333333,0,1
21.04166667,218.2083333,124,1.333333333,0.833333333,18.625,237.3333333,97.04166667,1.25,1,0,0
22.20833333,226.0833333,112.75,1.541666667,0.916666667,24.75,273.4166667,115.2083333,1.375,0.75,0,1
21.45833333,255.0833333,108.5,1,1.375,23.79166667,241.25,98.20833333,1.416666667,0.875,0,0
