Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target,Home Twitter Sentiment,Away Twitter Sentiment,Home Twitter Rate,Away Twitter Rate,Unnamed: 0
19.45,211.275,111.15,1.975,0.775,19.9,242.875,109.425,1.55,1.625,0.1,0,0.143237288,0.055701639,-1.119402985,0.902061856,
20.45,192.95,126.75,1.025,0.8,14.05,225.35,82.525,2.275,1.35,0.1,1,0.118410609,0.055023267,2.059405941,1.213389121,
19.2,247.6,108.5,1.9,1.1,21.6,222.7,137.3,0.8,1.1,0,1,0.106028495,0.168092857,-1.25,1.542056075,
23.575,197.575,111.725,1.075,0.35,21.2,252.5,113.125,0.875,1.475,-0.1,1,0.118504558,0.136256364,8.557142857,-0.610687023,
21.8,255.5,131.7,2,1.5,22.4,217.7,90.3,1.9,1.3,-0.2,1,0.153337771,0.073111364,1.262214984,0.759162304,
18.925,248.675,111.45,1.05,0.875,23.225,253.05,114.175,0.875,0.775,-0.1,1,0.061555102,0.121146957,-0.925925926,-3.270750988,
18.5,298.4,65.4,1.6,0.8,25.1,200.9,146.3,0.9,0.3,0.2,0,0.036496377,0.101998299,-0.582524272,-1.81501548,
21,229.5,112.8,1.9,1.1,24.1,233.5,122.8,1.7,1,0.2,1,0.053665409,0.122464362,1.029411765,2.614213198,
18.75,215.375,116.875,1.375,1.125,18.5,265.625,99.75,0.875,0.875,0,1,0.114152709,0.073743796,-3.450777202,-2.089694656,
19,237.8,115.4,1.3,0.6,22.8,316.6,96,1.5,0.6,-0.2,0,0.181789836,0.192878571,0.653465347,0.357142857,
20.2,226.5,124.3,1.6,1.3,26.9,232.5,120.5,1.8,0.7,0,0,0.123792,0.0913936,3.785714286,0.613496933,
17.41666667,237.1,98.35,2.166666667,0.716666667,19.68333333,220.8833333,130.6666667,1.216666667,1.666666667,0.066666667,1,-0.035385106,0.068526563,-2.019230769,0.721649485,
